N,TAG,ID_YPS,SPP,ALT,ID,Genus,Species,Family
1,63,BAR0001,TET2PA,271,BAR.0.1.11.63,Tetragastris,Tetragastris panamensis,Burseraceae
2,69,BAR0002,TET2PA,351,BAR.0.1.11.69,Tetragastris,Tetragastris panamensis,Burseraceae
3,80,BAR0003,TET2PA,371,BAR.0.1.11.80,Tetragastris,Tetragastris panamensis,Burseraceae
4,82,BAR0004,TET2PA,390,BAR.0.1.11.82,Tetragastris,Tetragastris panamensis,Burseraceae
5,85,BAR0005,EUGENE,362,BAR.0.1.11.85,Eugenia,Eugenia nesiotica,Myrtaceae
6,91,BAR0006,TET2PA,342,BAR.0.1.11.91,Tetragastris,Tetragastris panamensis,Burseraceae
7,95,BAR0007,FARAOC,311,BAR.0.1.11.95,Faramea,Faramea occidentalis,Rubiaceae
8,96,BAR0008,POUTRE,411,BAR.0.1.11.96,Pouteria,Pouteria reticulata,Sapotaceae
9,99,BAR0009,EUGENE,353,BAR.0.1.11.99,Eugenia,Eugenia nesiotica,Myrtaceae
10,152,BAR0010,TET2PA,336,BAR.0.1.11.152,Tetragastris,Tetragastris panamensis,Burseraceae
11,156,BAR0011,EUGENE,426,BAR.0.1.11.156,Eugenia,Eugenia nesiotica,Myrtaceae
12,157,BAR0012,EUGENE,290,BAR.0.1.11.157,Eugenia,Eugenia nesiotica,Myrtaceae
13,162,BAR0013,EUGENE,358,BAR.0.1.11.162,Eugenia,Eugenia nesiotica,Myrtaceae
14,29,BAR0014,TET2PA,561,BAR.0.1.21.29,Tetragastris,Tetragastris panamensis,Burseraceae
15,30,BAR0015,TET2PA,411,BAR.0.1.21.30,Tetragastris,Tetragastris panamensis,Burseraceae
16,31,BAR0016,TET2PA,322,BAR.0.1.21.31,Tetragastris,Tetragastris panamensis,Burseraceae
17,33,BAR0017,TET2PA,270,BAR.0.1.21.33,Tetragastris,Tetragastris panamensis,Burseraceae
18,36,BAR0018,CAPPFR,470,BAR.0.1.21.36,Capparidastrum,Capparidastrum frondosum,Capparaceae
19,42,BAR0019,TET2PA,403,BAR.0.1.21.42,Tetragastris,Tetragastris panamensis,Burseraceae
20,44,BAR0020,TET2PA,599,BAR.0.1.21.44,Tetragastris,Tetragastris panamensis,Burseraceae
21,78,BAR0021,TET2PA,342,BAR.0.1.21.78,Tetragastris,Tetragastris panamensis,Burseraceae
22,86,BAR0022,TET2PA,341,BAR.0.1.21.86,Tetragastris,Tetragastris panamensis,Burseraceae
23,100,BAR0023,RINOSY,921,BAR.0.1.21.100,Rinorea,Rinorea sylvatica,Violaceae
24,114,BAR0024,CAPPFR,361,BAR.0.1.21.114,Capparidastrum,Capparidastrum frondosum,Capparaceae
25,121,BAR0025,MOURMY,872,BAR.0.1.21.121,Mouriri,Mouriri myrtilloides,Melastomataceae
26,28,BAR0026,PSYCIP,203,BAR.0.1.24.28,Psychotria,Psychotria ciprianiana,Rubiaceae
27,32,BAR0027,SWARS2,633,BAR.0.1.24.32,Swartzia,Swartzia simplex var. continentalis,Fabaceae
28,46,BAR0028,PSYCIP,500,BAR.0.1.24.46,Psychotria,Psychotria ciprianiana,Rubiaceae
29,68,BAR0029,TET2PA,362,BAR.0.1.31.68,Tetragastris,Tetragastris panamensis,Burseraceae
30,88,BAR0030,CAPPFR,412,BAR.0.1.31.88,Capparidastrum,Capparidastrum frondosum,Capparaceae
31,94,BAR0031,CAPPFR,279,BAR.0.1.31.94,Capparidastrum,Capparidastrum frondosum,Capparaceae
32,112,BAR0032,TET2PA,750,BAR.0.1.31.112,Tetragastris,Tetragastris panamensis,Burseraceae
33,177,BAR0033,CONNTU,320,BAR.0.1.31.177,Connarus,Connarus turczaninowii,Connaraceae
34,83,BAR0034,RINOSY,750,BAR.0.1.32.83,Rinorea,Rinorea sylvatica,Violaceae
35,142,BAR0035,TET2PA,203,BAR.0.1.32.142,Tetragastris,Tetragastris panamensis,Burseraceae
36,175,BAR0036,TET2PA,715,BAR.0.1.32.175,Tetragastris,Tetragastris panamensis,Burseraceae
37,72,BAR0037,TET2PA,282,BAR.0.1.33.72,Tetragastris,Tetragastris panamensis,Burseraceae
38,154,BAR0038,TET2PA,280,BAR.0.1.33.154,Tetragastris,Tetragastris panamensis,Burseraceae
39,164,BAR0039,ACACHA,423,BAR.0.1.33.164,Senegalia,Senegalia hayesii,Fabaceae
40,165,BAR0040,ACACHA,822,BAR.0.1.33.165,Senegalia,Senegalia hayesii,Fabaceae
41,166,BAR0041,TET2PA,418,BAR.0.1.33.166,Tetragastris,Tetragastris panamensis,Burseraceae
42,97,BAR0042,ACACHA,612,BAR.0.1.34.97,Senegalia,Senegalia hayesii,Fabaceae
43,153,BAR0043,ACACHA,565,BAR.0.1.34.153,Senegalia,Senegalia hayesii,Fabaceae
44,155,BAR0044,SWARS1,219,BAR.0.1.34.155,Swartzia,Swartzia simplex var. grandiflora,Fabaceae
45,30,BAR0045,GUSTSU,225,BAR.0.1.41.30,Gustavia,Gustavia superba,Lecythidaceae
46,32,BAR0046,TET2PA,571,BAR.0.1.41.32,Tetragastris,Tetragastris panamensis,Burseraceae
47,55,BAR0047,POUTRE,532,BAR.0.1.41.55,Pouteria,Pouteria reticulata,Sapotaceae
48,56,BAR0048,RINOSY,781,BAR.0.1.41.56,Rinorea,Rinorea sylvatica,Violaceae
49,61,BAR0049,GUSTSU,397,BAR.0.1.41.61,Gustavia,Gustavia superba,Lecythidaceae
50,66,BAR0050,CAPPFR,572,BAR.0.1.41.66,Capparidastrum,Capparidastrum frondosum,Capparaceae
51,81,BAR0051,COCCP1,262,BAR.0.1.41.81,Coccoloba,Coccoloba excelsa,Polygonaceae
52,90,BAR0052,GUSTSU,461,BAR.0.1.41.90,Gustavia,Gustavia superba,Lecythidaceae
53,92,BAR0053,CNESRU,440,BAR.0.1.41.92,Cnestidium,Cnestidium rufescens,Connaraceae
54,109,BAR0054,TET2PA,351,BAR.0.1.41.109,Tetragastris,Tetragastris panamensis,Burseraceae
55,118,BAR0055,FARAOC,773,BAR.0.1.41.118,Faramea,Faramea occidentalis,Rubiaceae
56,119,BAR0056,TET2PA,442,BAR.0.1.41.119,Tetragastris,Tetragastris panamensis,Burseraceae
57,159,BAR0057,TET2PA,583,BAR.0.1.41.159,Tetragastris,Tetragastris panamensis,Burseraceae
58,163,BAR0058,CAPPFR,461,BAR.0.1.41.163,Capparidastrum,Capparidastrum frondosum,Capparaceae
59,135,BAR0059,COCCP1,301,BAR.0.1.43.135,Coccoloba,Coccoloba excelsa,Polygonaceae
60,50,BAR0060,PAULTU,44,BAR.0.1.44.50,Paullinia,Paullinia turbacensis,Sapindaceae
61,64,BAR0061,SWARS1,261,BAR.0.1.44.64,Swartzia,Swartzia simplex var. grandiflora,Fabaceae
62,71,BAR0062,DOLIOL,512,BAR.0.1.44.71,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
63,117,BAR0063,CONNTU,218,BAR.0.1.44.117,Connarus,Connarus turczaninowii,Connaraceae
64,171,BAR0064,FARAOC,867,BAR.0.1.44.171,Faramea,Faramea occidentalis,Rubiaceae
65,175,BAR0065,PROTTE,506,BAR.1.0.14.175,Protium,Protium tenuifolium,Burseraceae
66,154,BAR0066,CAPPFR,249,BAR.1.0.21.154,Capparidastrum,Capparidastrum frondosum,Capparaceae
67,172,BAR0067,CAPPFR,231,BAR.1.0.21.172,Capparidastrum,Capparidastrum frondosum,Capparaceae
68,19,BAR0068,POUTRE,231,BAR.1.0.22.19,Pouteria,Pouteria reticulata,Sapotaceae
69,144,BAR0069,GUSTSU,203,BAR.1.0.22.144,Gustavia,Gustavia superba,Lecythidaceae
70,164,BAR0070,RINOSY,964,BAR.1.0.22.164,Rinorea,Rinorea sylvatica,Violaceae
71,166,BAR0071,GUSTSU,293,BAR.1.0.22.166,Gustavia,Gustavia superba,Lecythidaceae
72,168,BAR0072,FARAOC,451,BAR.1.0.23.168,Faramea,Faramea occidentalis,Rubiaceae
73,162,BAR0073,RINOSY,256,BAR.1.0.24.162,Rinorea,Rinorea sylvatica,Violaceae
74,141,BAR0074,GUSTSU,132,BAR.1.0.32.141,Gustavia,Gustavia superba,Lecythidaceae
75,152,BAR0075,SWARS1,606,BAR.1.0.32.152,Swartzia,Swartzia simplex var. grandiflora,Fabaceae
76,165,BAR0076,GUSTSU,374,BAR.1.0.32.165,Gustavia,Gustavia superba,Lecythidaceae
77,166,BAR0077,RINOSY,272,BAR.1.0.32.166,Rinorea,Rinorea sylvatica,Violaceae
78,174,BAR0078,RINOSY,762,BAR.1.0.32.174,Rinorea,Rinorea sylvatica,Violaceae
79,162,BAR0079,RINOSY,311,BAR.1.0.33.162,Rinorea,Rinorea sylvatica,Violaceae
80,169,BAR0080,SWARS1,713,BAR.1.0.33.169,Swartzia,Swartzia simplex var. grandiflora,Fabaceae
81,170,BAR0081,PRI1AS,462,BAR.1.0.33.170,Prionostemma,Prionostemma asperum,Celastraceae
82,157,BAR0082,EUGENE,846,BAR.1.0.34.157,Eugenia,Eugenia nesiotica,Myrtaceae
83,118,BAR0083,POUTRE,266,BAR.1.0.41.118,Pouteria,Pouteria reticulata,Sapotaceae
84,123,BAR0084,PROTTE,303,BAR.1.0.41.123,Protium,Protium tenuifolium,Burseraceae
85,125,BAR0085,FARAOC,782,BAR.1.0.41.125,Faramea,Faramea occidentalis,Rubiaceae
86,136,BAR0086,POUTRE,209,BAR.1.0.41.136,Pouteria,Pouteria reticulata,Sapotaceae
87,39,BAR0087,GUSTSU,216,BAR.1.0.42.39,Gustavia,Gustavia superba,Lecythidaceae
88,106,BAR0088,PRI1AS,583,BAR.1.0.42.106,Prionostemma,Prionostemma asperum,Celastraceae
89,107,BAR0089,GUSTSU,309,BAR.1.0.42.107,Gustavia,Gustavia superba,Lecythidaceae
90,121,BAR0090,GUSTSU,281,BAR.1.0.42.121,Gustavia,Gustavia superba,Lecythidaceae
91,122,BAR0091,GUSTSU,267,BAR.1.0.42.122,Gustavia,Gustavia superba,Lecythidaceae
92,43,BAR0092,DOLIMA,402,BAR.1.0.44.43,Doliocarpus,Doliocarpus major,Dilleniaceae
93,44,BAR0093,DOLIMA,372,BAR.1.0.44.44,Doliocarpus,Doliocarpus major,Dilleniaceae
94,66,BAR0094,DOLIMA,372,BAR.1.0.44.66,Doliocarpus,Doliocarpus major,Dilleniaceae
95,164,BAR0095,EUGENE,386,BAR.1.0.44.164,Eugenia,Eugenia nesiotica,Myrtaceae
96,178,BAR0096,DOLIMA,304,BAR.1.0.44.178,Doliocarpus,Doliocarpus major,Dilleniaceae
97,181,BAR0097,DOLIMA,381,BAR.1.0.44.181,Doliocarpus,Doliocarpus major,Dilleniaceae
98,183,BAR0098,DOLIMA,312,BAR.1.0.44.183,Doliocarpus,Doliocarpus major,Dilleniaceae
99,194,BAR0099,CNESRU,438,BAR.1.0.44.194,Cnestidium,Cnestidium rufescens,Connaraceae
100,195,BAR0100,DOLIMA,251,BAR.1.0.44.195,Doliocarpus,Doliocarpus major,Dilleniaceae
101,80,BAR0101,CNESRU,145,BAR.1.1.11.80,Cnestidium,Cnestidium rufescens,Connaraceae
102,110,BAR0102,EUGENE,686,BAR.1.1.11.110,Eugenia,Eugenia nesiotica,Myrtaceae
103,76,BAR0103,PRI1AS,431,BAR.1.1.12.76,Prionostemma,Prionostemma asperum,Celastraceae
104,168,BAR0104,PRI1AS,281,BAR.1.1.13.168,Prionostemma,Prionostemma asperum,Celastraceae
105,169,BAR0105,RINOSY,442,BAR.1.1.14.169,Rinorea,Rinorea sylvatica,Violaceae
106,59,BAR0106,PROTPA,988,BAR.1.1.21.59,Protium,Protium panamense,Burseraceae
107,157,BAR0107,EUGEOE,261,BAR.1.1.21.157,Eugenia,Eugenia oerstediana,Myrtaceae
108,81,BAR0108,DOLIOL,762,BAR.1.1.22.81,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
109,162,BAR0109,FARAOC,422,BAR.1.1.22.162,Faramea,Faramea occidentalis,Rubiaceae
110,169,BAR0110,SWARS2,584,BAR.1.1.22.169,Swartzia,Swartzia simplex var. continentalis,Fabaceae
111,2,BAR0111,HYLEPR,321,BAR.1.1.24.2,Hylenaea,Hylenaea praecelsa,Celastraceae
112,33,BAR0112,HYLEPR,221,BAR.1.1.24.33,Hylenaea,Hylenaea praecelsa,Celastraceae
113,34,BAR0113,HYLEPR,254,BAR.1.1.24.34,Hylenaea,Hylenaea praecelsa,Celastraceae
114,108,BAR0114,HYLEPR,281,BAR.1.1.24.108,Hylenaea,Hylenaea praecelsa,Celastraceae
115,128,BAR0115,HYLEPR,236,BAR.1.1.24.128,Hylenaea,Hylenaea praecelsa,Celastraceae
116,137,BAR0116,HYLEPR,293,BAR.1.1.24.137,Hylenaea,Hylenaea praecelsa,Celastraceae
117,161,BAR0117,SWARS2,505,BAR.1.1.24.161,Swartzia,Swartzia simplex var. continentalis,Fabaceae
118,165,BAR0118,EUGENE,414,BAR.1.1.31.165,Eugenia,Eugenia nesiotica,Myrtaceae
119,87,BAR0119,PRI1AS,476,BAR.1.1.34.87,Prionostemma,Prionostemma asperum,Celastraceae
120,155,BAR0120,EUGENE,665,BAR.1.1.41.155,Eugenia,Eugenia nesiotica,Myrtaceae
121,89,BAR0121,FARAOC,371,BAR.1.1.44.89,Faramea,Faramea occidentalis,Rubiaceae
122,96,BAR0122,RINOSY,171,BAR.1.1.44.96,Rinorea,Rinorea sylvatica,Violaceae
123,104,BAR0123,GUSTSU,205,BAR.1.1.44.104,Gustavia,Gustavia superba,Lecythidaceae
124,110,BAR0124,GUSTSU,214,BAR.1.1.44.110,Gustavia,Gustavia superba,Lecythidaceae
125,153,BAR0125,CONNTU,132,BAR.1.1.44.153,Connarus,Connarus turczaninowii,Connaraceae
126,166,BAR0126,RINOSY,726,BAR.1.1.44.166,Rinorea,Rinorea sylvatica,Violaceae
127,174,BAR0127,CONNTU,332,BAR.1.1.44.174,Connarus,Connarus turczaninowii,Connaraceae
128,3,BAR0128,DOLIOL,525,BAR.1.2.11.3,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
129,11,BAR0129,EUGENE,457,BAR.1.2.12.11,Eugenia,Eugenia nesiotica,Myrtaceae
130,21,BAR0130,PAULTU,514,BAR.1.2.12.21,Paullinia,Paullinia turbacensis,Sapindaceae
131,103,BAR0131,MOURMY,298,BAR.1.2.14.103,Mouriri,Mouriri myrtilloides,Melastomataceae
132,5,BAR0132,EUGEOE,546,BAR.1.2.21.5,Eugenia,Eugenia oerstediana,Myrtaceae
133,121,BAR0133,PRI1AS,252,BAR.1.2.22.121,Prionostemma,Prionostemma asperum,Celastraceae
134,18,BAR0134,PAULTU,886,BAR.1.2.23.18,Paullinia,Paullinia turbacensis,Sapindaceae
135,1,BAR0135,POUTRE,206,BAR.1.2.32.1,Pouteria,Pouteria reticulata,Sapotaceae
136,93,BAR0136,DOLIOL,443,BAR.1.2.33.93,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
137,76,BAR0137,MOURMY,528,BAR.1.2.34.76,Mouriri,Mouriri myrtilloides,Melastomataceae
138,79,BAR0138,FARAOC,258,BAR.1.2.34.79,Faramea,Faramea occidentalis,Rubiaceae
139,91,BAR0139,PRI1AS,211,BAR.1.2.34.91,Prionostemma,Prionostemma asperum,Celastraceae
140,119,BAR0140,FARAOC,126,BAR.1.2.34.119,Faramea,Faramea occidentalis,Rubiaceae
141,114,BAR0141,EUGENE,176,BAR.1.2.42.114,Eugenia,Eugenia nesiotica,Myrtaceae
142,77,BAR0142,COCCP1,338,BAR.1.2.44.77,Coccoloba,Coccoloba excelsa,Polygonaceae
143,83,BAR0143,EUGEOE,574,BAR.1.2.44.83,Eugenia,Eugenia oerstediana,Myrtaceae
144,87,BAR0144,EUGENE,331,BAR.1.2.44.87,Eugenia,Eugenia nesiotica,Myrtaceae
145,88,BAR0145,POUTRE,933,BAR.1.2.44.88,Pouteria,Pouteria reticulata,Sapotaceae
146,96,BAR0146,EUGENE,454,BAR.1.2.44.96,Eugenia,Eugenia nesiotica,Myrtaceae
147,118,BAR0147,SWARS2,236,BAR.1.2.44.118,Swartzia,Swartzia simplex var. continentalis,Fabaceae
148,109,BAR0148,PSYCFU,142,BAR.2.0.11.109,Psychotria,Psychotria hoffmannseggiana,Rubiaceae
149,171,BAR0149,PSYCFU,140,BAR.2.0.11.171,Psychotria,Psychotria hoffmannseggiana,Rubiaceae
150,32,BAR0150,FARAOC,384,BAR.2.0.12.32,Faramea,Faramea occidentalis,Rubiaceae
151,158,BAR0151,PSYCIP,314,BAR.2.0.12.158,Psychotria,Psychotria ciprianiana,Rubiaceae
152,123,BAR0152,PAULTU,235,BAR.2.0.13.123,Paullinia,Paullinia turbacensis,Sapindaceae
153,156,BAR0153,GUSTSU,214,BAR.2.0.13.156,Gustavia,Gustavia superba,Lecythidaceae
154,172,BAR0154,SWARS1,306,BAR.2.0.13.172,Swartzia,Swartzia simplex var. grandiflora,Fabaceae
155,175,BAR0155,GUSTSU,153,BAR.2.0.13.175,Gustavia,Gustavia superba,Lecythidaceae
156,41,BAR0156,PAULTU,111,BAR.2.0.14.41,Paullinia,Paullinia turbacensis,Sapindaceae
157,25,BAR0157,DOLIMA,234,BAR.2.0.21.25,Doliocarpus,Doliocarpus major,Dilleniaceae
158,133,BAR0158,DOLIMA,346,BAR.2.0.21.133,Doliocarpus,Doliocarpus major,Dilleniaceae
159,137,BAR0159,COCCP1,437,BAR.2.0.21.137,Coccoloba,Coccoloba excelsa,Polygonaceae
160,139,BAR0160,COCCP1,216,BAR.2.0.21.139,Coccoloba,Coccoloba excelsa,Polygonaceae
161,142,BAR0161,DOLIMA,239,BAR.2.0.21.142,Doliocarpus,Doliocarpus major,Dilleniaceae
162,146,BAR0162,DOLIMA,309,BAR.2.0.21.146,Doliocarpus,Doliocarpus major,Dilleniaceae
163,150,BAR0163,DOLIMA,242,BAR.2.0.21.150,Doliocarpus,Doliocarpus major,Dilleniaceae
164,162,BAR0164,DOLIMA,271,BAR.2.0.21.162,Doliocarpus,Doliocarpus major,Dilleniaceae
165,192,BAR0165,DOLIMA,217,BAR.2.0.21.192,Doliocarpus,Doliocarpus major,Dilleniaceae
166,200,BAR0166,MOURMY,251,BAR.2.0.21.200,Mouriri,Mouriri myrtilloides,Melastomataceae
167,129,BAR0167,HYLEPR,312,BAR.2.0.23.129,Hylenaea,Hylenaea praecelsa,Celastraceae
168,130,BAR0168,HYLEPR,234,BAR.2.0.23.130,Hylenaea,Hylenaea praecelsa,Celastraceae
169,136,BAR0169,HYLEPR,238,BAR.2.0.23.136,Hylenaea,Hylenaea praecelsa,Celastraceae
170,138,BAR0170,HYLEPR,291,BAR.2.0.23.138,Hylenaea,Hylenaea praecelsa,Celastraceae
171,139,BAR0171,HYLEPR,254,BAR.2.0.23.139,Hylenaea,Hylenaea praecelsa,Celastraceae
172,140,BAR0172,HYLEPR,299,BAR.2.0.23.140,Hylenaea,Hylenaea praecelsa,Celastraceae
173,150,BAR0173,HYLEPR,290,BAR.2.0.23.150,Hylenaea,Hylenaea praecelsa,Celastraceae
174,165,BAR0174,PAULFI,228,BAR.2.0.23.165,Paullinia,Paullinia fibrigera,Sapindaceae
175,168,BAR0175,HIRARE,352,BAR.2.0.23.168,Hiraea,Hiraea reclinata,Malpighiaceae
176,192,BAR0176,PROTPA,848,BAR.2.0.23.192,Protium,Protium panamense,Burseraceae
177,31,BAR0177,COCCP1,338,BAR.2.0.24.31,Coccoloba,Coccoloba excelsa,Polygonaceae
178,35,BAR0178,PROTTE,218,BAR.2.0.24.35,Protium,Protium tenuifolium,Burseraceae
179,127,BAR0179,PROTTE,344,BAR.2.0.31.127,Protium,Protium tenuifolium,Burseraceae
180,129,BAR0180,MOURMY,408,BAR.2.0.31.129,Mouriri,Mouriri myrtilloides,Melastomataceae
181,130,BAR0181,POUTRE,214,BAR.2.0.31.130,Pouteria,Pouteria reticulata,Sapotaceae
182,131,BAR0182,COCCP1,974,BAR.2.0.31.131,Coccoloba,Coccoloba excelsa,Polygonaceae
183,135,BAR0183,CONNTU,382,BAR.2.0.31.135,Connarus,Connarus turczaninowii,Connaraceae
184,149,BAR0184,PSYCFU,427,BAR.2.0.31.149,Psychotria,Psychotria hoffmannseggiana,Rubiaceae
185,152,BAR0185,POUTRE,392,BAR.2.0.31.152,Pouteria,Pouteria reticulata,Sapotaceae
186,101,BAR0186,PROTTE,454,BAR.2.0.32.101,Protium,Protium tenuifolium,Burseraceae
187,104,BAR0187,PROTTE,422,BAR.2.0.32.104,Protium,Protium tenuifolium,Burseraceae
188,106,BAR0188,PROTTE,582,BAR.2.0.32.106,Protium,Protium tenuifolium,Burseraceae
189,122,BAR0189,FARAOC,341,BAR.2.0.32.122,Faramea,Faramea occidentalis,Rubiaceae
190,123,BAR0190,PROTTE,652,BAR.2.0.32.123,Protium,Protium tenuifolium,Burseraceae
191,124,BAR0191,PAULTU,296,BAR.2.0.32.124,Paullinia,Paullinia turbacensis,Sapindaceae
192,126,BAR0192,FARAOC,478,BAR.2.0.32.126,Faramea,Faramea occidentalis,Rubiaceae
193,142,BAR0193,RINOSY,751,BAR.2.0.32.142,Rinorea,Rinorea sylvatica,Violaceae
194,143,BAR0194,PROTTE,937,BAR.2.0.32.143,Protium,Protium tenuifolium,Burseraceae
195,62,BAR0195,HIRARE,69,BAR.2.0.33.62,Hiraea,Hiraea reclinata,Malpighiaceae
196,53,BAR0196,HIRARE,385,BAR.2.0.34.53,Hiraea,Hiraea reclinata,Malpighiaceae
197,74,BAR0197,HIRARE,206,BAR.2.0.34.74,Hiraea,Hiraea reclinata,Malpighiaceae
198,92,BAR0198,EUGENE,803,BAR.2.0.41.92,Eugenia,Eugenia nesiotica,Myrtaceae
199,51,BAR0199,CONNTU,364,BAR.2.0.42.51,Connarus,Connarus turczaninowii,Connaraceae
200,67,BAR0200,FARAOC,273,BAR.2.0.42.67,Faramea,Faramea occidentalis,Rubiaceae
201,70,BAR0201,CONNTU,277,BAR.2.0.42.70,Connarus,Connarus turczaninowii,Connaraceae
202,197,BAR0202,CAPPFR,462,BAR.2.0.42.197,Capparidastrum,Capparidastrum frondosum,Capparaceae
203,198,BAR0203,CAPPFR,285,BAR.2.0.42.198,Capparidastrum,Capparidastrum frondosum,Capparaceae
204,194,BAR0204,CNESRU,288,BAR.2.0.43.194,Cnestidium,Cnestidium rufescens,Connaraceae
205,52,BAR0205,PSYCIP,299,BAR.2.0.44.52,Psychotria,Psychotria ciprianiana,Rubiaceae
206,107,BAR0206,PSYCIP,301,BAR.2.0.44.107,Psychotria,Psychotria ciprianiana,Rubiaceae
207,118,BAR0207,PSYCIP,298,BAR.2.0.44.118,Psychotria,Psychotria ciprianiana,Rubiaceae
208,119,BAR0208,PSYCIP,345,BAR.2.0.44.119,Psychotria,Psychotria ciprianiana,Rubiaceae
209,125,BAR0209,PSYCIP,518,BAR.2.0.44.125,Psychotria,Psychotria ciprianiana,Rubiaceae
210,75,BAR0210,CAPPFR,142,BAR.2.1.13.75,Capparidastrum,Capparidastrum frondosum,Capparaceae
211,169,BAR0211,CAPPFR,182,BAR.2.1.13.169,Capparidastrum,Capparidastrum frondosum,Capparaceae
212,176,BAR0212,CAPPFR,232,BAR.2.1.13.176,Capparidastrum,Capparidastrum frondosum,Capparaceae
213,7,BAR0213,COCCP1,353,BAR.2.1.14.7,Coccoloba,Coccoloba excelsa,Polygonaceae
214,91,BAR0214,PRI1AS,279,BAR.2.1.14.91,Prionostemma,Prionostemma asperum,Celastraceae
215,46,BAR0215,PAULFI,383,BAR.2.1.22.46,Paullinia,Paullinia fibrigera,Sapindaceae
216,183,BAR0216,CONNTU,202,BAR.2.1.23.183,Connarus,Connarus turczaninowii,Connaraceae
217,75,BAR0217,PROTPA,579,BAR.2.1.31.75,Protium,Protium panamense,Burseraceae
218,74,BAR0218,MOURMY,912,BAR.2.1.32.74,Mouriri,Mouriri myrtilloides,Melastomataceae
219,161,BAR0219,FARAOC,254,BAR.2.1.34.161,Faramea,Faramea occidentalis,Rubiaceae
220,26,BAR0220,COCCP1,452,BAR.2.1.41.26,Coccoloba,Coccoloba excelsa,Polygonaceae
221,177,BAR0221,GUSTSU,204,BAR.2.1.43.177,Gustavia,Gustavia superba,Lecythidaceae
222,178,BAR0222,GUSTSU,231,BAR.2.1.43.178,Gustavia,Gustavia superba,Lecythidaceae
223,27,BAR0223,PRI1AS,254,BAR.2.2.11.27,Prionostemma,Prionostemma asperum,Celastraceae
224,157,BAR0224,PRI1AS,507,BAR.2.2.11.157,Prionostemma,Prionostemma asperum,Celastraceae
225,77,BAR0225,MOURMY,627,BAR.2.2.12.77,Mouriri,Mouriri myrtilloides,Melastomataceae
226,98,BAR0226,CONNTU,859,BAR.2.2.12.98,Connarus,Connarus turczaninowii,Connaraceae
227,30,BAR0227,PROTPA,294,BAR.2.2.14.30,Protium,Protium panamense,Burseraceae
228,147,BAR0228,MOURMY,251,BAR.2.2.14.147,Mouriri,Mouriri myrtilloides,Melastomataceae
229,41,BAR0229,EUGENE,325,BAR.2.2.24.41,Eugenia,Eugenia nesiotica,Myrtaceae
230,83,BAR0230,MOURMY,869,BAR.2.2.24.83,Mouriri,Mouriri myrtilloides,Melastomataceae
231,102,BAR0231,GUSTSU,264,BAR.2.2.31.102,Gustavia,Gustavia superba,Lecythidaceae
232,103,BAR0232,GUSTSU,224,BAR.2.2.31.103,Gustavia,Gustavia superba,Lecythidaceae
233,125,BAR0233,GUSTSU,200,BAR.2.2.31.125,Gustavia,Gustavia superba,Lecythidaceae
234,159,BAR0234,PRI1AS,358,BAR.2.2.31.159,Prionostemma,Prionostemma asperum,Celastraceae
235,166,BAR0235,EUGENE,24,BAR.2.2.33.166,Eugenia,Eugenia nesiotica,Myrtaceae
236,65,BAR0236,PRI1AS,249,BAR.2.2.34.65,Prionostemma,Prionostemma asperum,Celastraceae
237,121,BAR0237,GUSTSU,243,BAR.2.2.41.121,Gustavia,Gustavia superba,Lecythidaceae
238,186,BAR0238,GUSTSU,256,BAR.2.2.41.186,Gustavia,Gustavia superba,Lecythidaceae
239,153,BAR0239,MOURMY,231,BAR.2.2.42.153,Mouriri,Mouriri myrtilloides,Melastomataceae
240,183,BAR0240,COCCP1,522,BAR.2.2.42.183,Coccoloba,Coccoloba excelsa,Polygonaceae
241,189,BAR0241,MOURMY,241,BAR.2.2.42.189,Mouriri,Mouriri myrtilloides,Melastomataceae
242,170,BAR0242,CNESRU,344,BAR.2.2.43.170,Cnestidium,Cnestidium rufescens,Connaraceae
243,67,BAR0243,DOLIOL,912,BAR.2.2.44.67,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
244,182,BAR0244,MOURMY,886,BAR.3.0.12.182,Mouriri,Mouriri myrtilloides,Melastomataceae
245,189,BAR0245,PROTPA,273,BAR.3.0.12.189,Protium,Protium panamense,Burseraceae
246,196,BAR0246,CONNTU,327,BAR.3.0.12.196,Connarus,Connarus turczaninowii,Connaraceae
247,199,BAR0247,FARAOC,468,BAR.3.0.12.199,Faramea,Faramea occidentalis,Rubiaceae
248,148,BAR0248,FARAOC,204,BAR.3.0.13.148,Faramea,Faramea occidentalis,Rubiaceae
249,179,BAR0249,COCCP1,897,BAR.3.0.13.179,Coccoloba,Coccoloba excelsa,Polygonaceae
250,194,BAR0250,PROTPA,300,BAR.3.0.13.194,Protium,Protium panamense,Burseraceae
251,195,BAR0251,EUGENE,657,BAR.3.0.13.195,Eugenia,Eugenia nesiotica,Myrtaceae
252,136,BAR0252,POUTRE,503,BAR.3.0.21.136,Pouteria,Pouteria reticulata,Sapotaceae
253,68,BAR0253,CONNTU,230,BAR.3.0.22.68,Connarus,Connarus turczaninowii,Connaraceae
