N,TAG,ID_YPS,SPP,ALT,ID,Genus,Species,Family
775,46,PEA0175,DOLIOL,571,PEA.15.160.46,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
776,166,PEA0176,HYBAPR,121,PEA.15.160.166,Hybanthus,Hybanthus prunifolius,Violaceae
777,33,PEA0177,RANDAR,231,PEA.20.00.33,Randia,Randia armata,Rubiaceae
778,37,PEA0178,LACIAG,432,PEA.20.10.37,Lacistema,Lacistema aggregatum,Lacistemataceae
779,45,PEA0179,DOLIOL,216,PEA.20.10.45,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
780,89,PEA0180,DOLIOL,307,PEA.20.10.89,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
781,33,PEA0181,SWARS2,433,PEA.20.15.33,Swartzia,Swartzia simplex var. continentalis,Fabaceae
782,42,PEA0182,LACIAG,372,PEA.20.15.42,Lacistema,Lacistema aggregatum,Lacistemataceae
783,58,PEA0183,LACIAG,357,PEA.20.15.58,Lacistema,Lacistema aggregatum,Lacistemataceae
784,47,PEA0184,CAPPFR,363,PEA.20.25.47,Capparidastrum,Capparidastrum frondosum,Capparaceae
785,98,PEA0185,HYBAPR,82,PEA.20.35.98,Hybanthus,Hybanthus prunifolius,Violaceae
786,110,PEA0186,GUSTSU,106,PEA.20.35.110,Gustavia,Gustavia superba,Lecythidaceae
787,92,PEA0187,LACIAG,672,PEA.20.40.92,Lacistema,Lacistema aggregatum,Lacistemataceae
788,10,PEA0188,PAULTU,187,PEA.20.45.10,Paullinia,Paullinia turbacensis,Sapindaceae
789,2,PEA0189,CHR2CA,282,PEA.20.55.2,Chrysophyllum,Chrysophyllum cainito,Sapotaceae
790,40,PEA0190,PAULTU,192,PEA.20.85.40,Paullinia,Paullinia turbacensis,Sapindaceae
791,91,PEA0191,DES2PA,262,PEA.20.90.91,Desmopsis,Desmopsis panamensis,Annonaceae
792,96,PEA0192,PAULTU,594,PEA.20.90.96,Paullinia,Paullinia turbacensis,Sapindaceae
793,105,PEA0193,DES2PA,207,PEA.20.90.105,Desmopsis,Desmopsis panamensis,Annonaceae
794,15,PEA0194,HYBAPR,394,PEA.20.115.15,Hybanthus,Hybanthus prunifolius,Violaceae
795,39,PEA0195,SWARS2,295,PEA.20.120.39,Swartzia,Swartzia simplex var. continentalis,Fabaceae
796,46,PEA0196,MAR2PA,152,PEA.20.120.46,Maripa,Maripa panamensis,Convolvulaceae
797,88,PEA0197,DOLIOL,931,PEA.20.120.88,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
798,23,PEA0198,PRI1AS,296,PEA.20.130.23,Prionostemma,Prionostemma asperum,Celastraceae
799,53,PEA0199,EUGEOE,282,PEA.20.130.53,Eugenia,Eugenia oerstediana,Myrtaceae
800,80,PEA0200,PRI1AS,142,PEA.20.130.80,Prionostemma,Prionostemma asperum,Celastraceae
801,135,PEA0201,PROTTE,567,PEA.20.130.135,Protium,Protium tenuifolium,Burseraceae
802,24,PEA0202,EUGEOE,602,PEA.20.135.24,Eugenia,Eugenia oerstediana,Myrtaceae
803,15,PEA0203,FARAOC,727,PEA.20.140.15,Faramea,Faramea occidentalis,Rubiaceae
804,18,PEA0204,FARAOC,485,PEA.20.140.18,Faramea,Faramea occidentalis,Rubiaceae
805,83,PEA0205,DES2PA,653,PEA.20.145.83,Desmopsis,Desmopsis panamensis,Annonaceae
806,2,PEA0206,ACALDI,123,PEA.20.150.2,Acalypha,Acalypha diversifolia,Euphorbiaceae
807,10,PEA0207,ACALDI,31,PEA.20.150.10,Acalypha,Acalypha diversifolia,Euphorbiaceae
808,84,PEA0208,ACALDI,173,PEA.20.150.84,Acalypha,Acalypha diversifolia,Euphorbiaceae
809,92,PEA0209,ACALDI,264,PEA.20.150.92,Acalypha,Acalypha diversifolia,Euphorbiaceae
810,93,PEA0210,ACALDI,55,PEA.20.150.93,Acalypha,Acalypha diversifolia,Euphorbiaceae
811,195,PEA0211,DOLIOL,417,PEA.25.00.195,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
812,7,PEA0212,LACIAG,425,PEA.25.15.7,Lacistema,Lacistema aggregatum,Lacistemataceae
813,8,PEA0213,MAR2PA,205,PEA.25.20.8,Maripa,Maripa panamensis,Convolvulaceae
814,103,PEA0214,MAR2PA,241,PEA.25.40.103,Maripa,Maripa panamensis,Convolvulaceae
815,180,PEA0215,EUGEOE,295,PEA.25.40.180,Eugenia,Eugenia oerstediana,Myrtaceae
816,186,PEA0216,PAULTU,77,PEA.25.40.186,Paullinia,Paullinia turbacensis,Sapindaceae
817,187,PEA0217,MAR2PA,470,PEA.25.40.187,Maripa,Maripa panamensis,Convolvulaceae
818,189,PEA0218,PROTTE,551,PEA.25.40.189,Protium,Protium tenuifolium,Burseraceae
819,200,PEA0219,SWARS2,715,PEA.25.40.200,Swartzia,Swartzia simplex var. continentalis,Fabaceae
